filename,width,height,class,xmin,ymin,xmax,ymax
photo-1490134109263-465f18369fd3.jpg,500,333,phone,113,124,290,237
photo-1494366222322-387658a1a976.jpg,500,333,phone,197,65,301,265
photo-1494688290324-e296afa7dc45 (1).jpg,500,333,phone,208,74,323,290
photo-1494688290324-e296afa7dc45.jpg,500,333,phone,205,74,328,289
photo-1497161884053-1d0d43fe3c61.jpg,500,281,phone,203,43,352,242
photo-1499931658483-6c9bc4c4b177.jpg,500,375,phone,198,100,310,293
photo-1501067981118-fdc652388eff.jpg,500,333,phone,103,109,272,229
photo-1501615132733-7d7f91b5d4bf.jpg,500,334,phone,90,53,130,102
photo-1501620179241-af8dc008d34c.jpg,500,333,phone,263,84,360,267
photo-1502758844636-27142ca839bc.jpg,500,334,phone,293,220,384,295
photo-1504375243548-4c974e20e993 (1).jpg,500,333,phone,202,78,293,256
photo-1505468726633-0069fc52f4b9.jpg,500,333,phone,143,104,356,252
photo-1505739648877-581d0adc9fd3.jpg,500,333,phone,115,43,383,312
photo-1506025883753-c77a55138eae.jpg,500,245,phone,180,31,329,228
photo-1506199541655-3b00707ecdf1.jpg,500,750,phone,177,278,329,507
photo-1506699029535-2f655c8601d4.jpg,500,750,phone,193,286,320,539
photo-1507262951040-577a0d0fada1.jpg,500,372,phone,299,273,345,338
photo-1507628178324-26c1a19985eb.jpg,500,333,phone,238,80,353,177
photo-1509473383868-b934025a9bc3.jpg,500,750,phone,146,163,371,590
photo-1510148911882-c539b88be2f2.jpg,500,333,phone,220,97,284,227
photo-1510513205346-a54d6543a6b7.jpg,500,333,phone,166,124,334,207
photo-1511138743687-5c14e8cfcf47.jpg,500,375,phone,106,51,394,342
photo-1511227682637-ddb98c43c42c.jpg,500,375,phone,136,115,364,269
photo-1511707171634-5f897ff02aa9.jpg,500,500,phone,76,45,379,402
photo-1512063489294-0b53a27284b5.jpg,500,333,phone,180,63,316,322
photo-1512149673953-1e251807ec7c.jpg,500,333,phone,51,129,475,288
photo-1512428559087-560fa5ceab42.jpg,500,333,phone,306,180,478,257
photo-1512499312141-b239712c0a3c.jpg,500,375,phone,143,25,349,346
photo-1512499617640-c74ae3a79d37.jpg,500,376,phone,165,26,331,339
photo-1516564320131-6709fd1d7792.jpg,500,333,phone,206,88,295,259
photo-1516992215729-0ea176127b50.jpg,500,281,phone,128,24,343,246
photo-1517103125652-8f0180c25c34.jpg,500,328,phone,192,50,310,278
photo-1517292987719-0369a794ec0f.jpg,500,375,phone,67,101,244,319
photo-1517324331608-c07f326d32dd.jpg,500,333,phone,161,5,330,330
photo-1517430868310-0bc91ef7d89a.jpg,500,333,phone,370,129,470,254
photo-1517517705172-589d52afcc0a.jpg,500,333,phone,124,44,364,322
photo-1518117946207-d26b51185902.jpg,500,333,phone,151,109,360,228
photo-1518515097038-ca19a3777cd7.jpg,500,333,phone,175,47,344,251
photo-1518670309426-6643a938d2a9.jpg,500,333,phone,241,86,371,225
photo-1518670309426-6643a938d2a9.jpg,500,333,phone,174,140,343,283
photo-1519020925855-604f4b23d490.jpg,500,750,phone,271,470,322,514
photo-1519123428123-a660671144c9.jpg,500,369,phone,146,22,310,264
photo-1519124080359-bfc4bb96f9aa.jpg,500,346,phone,196,28,385,323
photo-1519127008657-d552258f18d9 (1).jpg,500,375,phone,290,17,408,196
photo-1519127008657-d552258f18d9.jpg,500,375,phone,289,14,407,197
photo-1519140369137-ecb760259bbc.jpg,500,400,phone,198,115,297,294
photo-1519223400710-6da9e1b777ea.jpg,500,333,phone,161,53,240,210
photo-1519336305162-4b6ed6b6fc83.jpg,500,333,phone,143,63,320,252
photo-1519336367661-eba9c1dfa5e9.jpg,500,333,phone,124,79,291,264
photo-1519890874757-07ed8973e078.jpg,500,749,phone,169,305,313,571
photo-1519895387466-5fc5e7bf8b3c.jpg,500,341,phone,131,164,168,235
photo-1520089347164-2638db72ff7b (1).jpg,500,281,phone,124,28,384,250
photo-1520089347164-2638db72ff7b.jpg,500,281,phone,125,28,380,253
photo-1520089395365-001d26ba155b.jpg,500,281,phone,152,11,374,276
photo-1520189123429-6a76abfe7906.jpg,500,750,phone,150,172,355,574
photo-1520333789090-1afc82db536a.jpg,500,333,phone,211,154,252,221
photo-1520410973988-f551cf36c60d.jpg,500,334,phone,201,79,348,194
photo-1520463094705-0c2fb027f032.jpg,500,333,phone,238,86,281,172
photo-1520588831435-1529e6d7cf5e (1).jpg,500,366,phone,51,27,144,78
photo-1520588831435-1529e6d7cf5e (1).jpg,500,366,phone,296,49,347,135
photo-1520588831435-1529e6d7cf5e (1).jpg,500,366,phone,72,222,133,316
photo-1520588831435-1529e6d7cf5e.jpg,500,366,phone,49,27,144,78
photo-1520588831435-1529e6d7cf5e.jpg,500,366,phone,296,49,347,135
photo-1520588831435-1529e6d7cf5e.jpg,500,366,phone,72,222,134,319
photo-1521020948063-b02226e98063.jpg,500,394,phone,124,19,365,342
photo-1521452864218-156416da8db3.jpg,500,333,phone,176,199,281,304
photo-1521572089244-e5aaacacca6b.jpg,500,500,phone,151,101,333,374
photo-1521579498714-ff08ba4836ab.jpg,500,375,phone,132,37,320,323
photo-1521678839421-9230c79087ae.jpg,500,333,phone,292,155,494,333
photo-1521798416081-5c2c473b6533.jpg,500,299,phone,92,98,133,160
photo-1521798416081-5c2c473b6533.jpg,500,299,phone,147,196,188,251
photo-1521798416081-5c2c473b6533.jpg,500,299,phone,397,99,446,145
photo-1521939094609-93aba1af40d7.jpg,500,375,phone,158,12,344,365
photo-1522011308668-2e255e60de67.jpg,500,333,phone,160,139,237,288
photo-1522139255928-079f816441ed.jpg,500,699,phone,243,223,293,338
photo-1522252234503-e356532cafd5.jpg,500,400,phone,187,303,346,400
photo-1522327646852-4e28586a40dd.jpg,500,333,phone,298,100,391,150
photo-1522327646852-4e28586a40dd.jpg,500,333,phone,238,249,292,321
photo-1522585136005-d014f6cf939e.jpg,500,333,phone,239,57,488,333
photo-1522668261254-d408d69b39cd.jpg,500,500,phone,188,163,351,301
photo-1522826728642-6d710f47def2.jpg,500,439,phone,82,61,313,323
photo-1522910393933-38c045ea1c37.jpg,500,347,phone,81,118,131,167
photo-1522937335625-b87ea99dc133.jpg,500,333,phone,54,69,333,290
photo-1523206489230-c012c64b2b48.jpg,500,750,phone,174,225,321,505
photo-1523371683773-affcb4a2e39e.jpg,500,625,phone,187,194,297,432
photo-1523390218733-2e5b84cd6974.jpg,500,333,phone,255,93,378,235
photo-1523430237819-5fdfeb4f5604.jpg,500,393,phone,314,159,381,255
photo-1523759533935-e4b770303b1d.jpg,500,667,phone,183,241,340,499
photo-1524466302651-a98b8b02c497.jpg,500,328,phone,109,121,406,219
photo-1524559150021-18747b7a240e.jpg,500,423,phone,421,281,480,393
photo-1524668951403-d44b28200ce0.jpg,500,375,phone,441,114,500,230
photo-1524821505188-18975b5a913f.jpg,500,328,phone,146,163,184,222
photo-1524821505188-18975b5a913f.jpg,500,328,phone,312,89,349,134
photo-1525250838798-d9451a662acc.jpg,500,333,phone,72,149,128,214
photo-1525770041010-2a1233dd8152.jpg,500,750,phone,160,220,437,570
photo-1525771576046-15ba04b2693b.jpg,500,333,phone,259,36,336,157
photo-1526038335545-4b96864eaee7 (1).jpg,500,375,phone,41,134,389,284
photo-1526038335545-4b96864eaee7.jpg,500,375,phone,47,129,389,292
photo-1526045612212-70caf35c14df.jpg,500,333,phone,91,142,343,251
photo-1526375552546-e08e4e173028.jpg,500,333,phone,205,246,321,283
photo-1527067669193-6a36380de229 (1).jpg,500,393,phone,96,7,267,163
photo-1527067669193-6a36380de229 (1).jpg,500,393,phone,243,159,408,232
photo-1527067669193-6a36380de229 (1).jpg,500,393,phone,93,188,259,273
photo-1527067669193-6a36380de229.jpg,500,393,phone,104,6,270,156
photo-1527067669193-6a36380de229.jpg,500,393,phone,243,153,407,237
photo-1527067669193-6a36380de229.jpg,500,393,phone,106,173,266,287
photo-1527400877-487424a753a3.jpg,500,375,phone,119,2,452,204
photo-1527720404586-62e0e58fe307.jpg,500,750,phone,199,313,307,482
photo-1527776524032-c7bbf4a8e4c2.jpg,500,333,phone,163,39,339,305
photo-1527776595119-c6709551a984.jpg,500,333,phone,215,70,296,220
photo-1528033978085-52f315289665.jpg,500,333,phone,174,74,339,333
photo-1528562014890-9cc833b10c23.jpg,500,313,phone,10,240,52,310
photo-1528795099601-5a666d7043f0.jpg,500,331,phone,40,69,334,295
photo-1529078719464-7ab50e98fec1.jpg,500,750,phone,245,267,319,316
photo-1529088148495-2d9f231db829.jpg,500,500,phone,104,161,236,422
photo-1529653762956-b0a27278529c.jpg,500,333,phone,194,44,316,282
photo-1530169911702-b9dab3762148.jpg,500,334,phone,357,265,429,315
photo-1530319067432-f2a729c03db5.jpg,500,368,phone,142,71,355,283
photo-1530347927633-5f393ff7abd0.jpg,500,375,phone,215,127,283,263
photo-1530467212787-ae644315e6bb.jpg,500,625,phone,170,240,331,563
photo-1530563885674-66db50a1af19.jpg,500,334,phone,170,33,334,315
photo-1531790934214-ace86906e161.jpg,500,360,phone,222,182,301,296
photo-1531813119282-cd4d545af976.jpg,500,281,phone,199,149,282,270
photo-1531934788018-04c3cd417b80.jpg,500,666,phone,298,359,398,428
photo-1531938716357-224c16b5ace3.jpg,500,750,phone,155,349,260,439
photo-1531946272865-adda9b2c4eae.jpg,500,274,phone,414,138,470,239
photo-1531946405499-671fc3a8bbab.jpg,500,375,phone,395,163,451,271
photo-1531986362435-16b427eb9c26.jpg,500,333,phone,153,72,389,278
photo-1532295454114-d7bc89024613.jpg,500,333,phone,121,47,395,293
photo-1533022422823-39f3ad778be4.jpg,500,333,phone,230,134,355,202
photo-1533228100845-08145b01de14 (1).jpg,500,662,phone,132,128,362,590
photo-1533228100845-08145b01de14.jpg,500,662,phone,139,126,365,589
photo-1533612497215-4757b523ce31.jpg,500,333,phone,105,119,348,258
photo-1533727843255-76b0e1a2382e.jpg,500,341,phone,113,23,296,253
photo-1533839346998-ba7ebed7e89d.jpg,500,375,phone,220,75,315,254
photo-1534514063674-f9c0ae60f926.jpg,500,333,phone,274,102,355,273
photo-1534660863504-0ab7908cf15b.jpg,500,667,phone,43,244,210,567
photo-1535083027290-815b885e1df7 (1).jpg,500,331,phone,159,20,330,331
photo-1535083027290-815b885e1df7.jpg,500,331,phone,160,24,329,331
photo-1535303311164-664fc9ec6532.jpg,500,750,phone,68,161,489,750
photo-1535400322381-ea5edafb8f7d.jpg,500,338,phone,212,95,286,232
photo-1535432427690-545ed8124869.jpg,500,333,phone,88,25,367,310
photo-1536009744269-d24508b32196.jpg,500,333,phone,93,116,292,226
photo-1536087662201-50dcdb998d1f.jpg,500,666,phone,155,128,356,541
photo-1536313307004-edfdf22be4a8.jpg,500,458,phone,341,288,410,369
photo-1536553251541-fb0bbb4bb99d.jpg,500,409,phone,172,14,389,245
photo-1536744086449-fb029cf3aeba.jpg,500,333,phone,383,26,447,67
photo-1536744122812-00342eb587f3.jpg,500,333,phone,118,150,198,233
photo-1536847534872-d2a49c66e7d6.jpg,500,333,phone,231,183,282,295
photo-1537137601405-597f75677817.jpg,500,333,phone,309,47,437,294
photo-1537979072594-d5d8d7874459.jpg,500,750,phone,191,162,324,429
photo-1538560381769-4d7c788ad455.jpg,500,333,phone,202,70,277,170
photo-1538560381769-4d7c788ad455.jpg,500,333,phone,432,122,500,192
photo-1538560381769-4d7c788ad455.jpg,500,333,phone,1,160,59,260
photo-1538665308858-32a78ec223e3.jpg,500,750,phone,145,199,320,533
photo-1539601001507-887d25d5449e (1).jpg,500,625,phone,178,225,345,526
photo-1539601001507-887d25d5449e.jpg,500,625,phone,166,227,347,526
photo-1539683337328-a467738a839d.jpg,500,747,phone,180,260,430,577
photo-1539906876836-0d02bfce14c6.jpg,500,333,phone,113,89,453,261
photo-1540011673045-fdfc016be83d.jpg,500,750,phone,44,151,234,542
photo-1540011673045-fdfc016be83d.jpg,500,750,phone,279,281,465,639
photo-1540576204109-b9fdd4ce76dd.jpg,500,750,phone,150,222,360,538
photo-1540576331566-328324e54e13.jpg,500,333,phone,247,86,371,283
photo-1540723148961-af160f01cf74.jpg,500,750,phone,226,333,295,434
photo-1540774792855-251217abdab3.jpg,500,333,phone,165,80,301,314
photo-1540905159214-0305853939f4.jpg,500,333,phone,236,137,429,279
